Stkcd,Stknme,Listdt,Cuntrycd,Conme,Conme_en,Indcd,Indnme,Nindcd,Nindnme,Nnindcd,Nnindnme,Estbdt,PROVINCE,PROVINCECODE,CITY,CITYCODE,OWNERSHIPTYPE,OWNERSHIPTYPECODE,Favaldt,Curtrd,Ipoprm,Ipoprc,Ipocur,Nshripo,Parvcur,Ipodt,Parval,Sctcd,Statco,Crcd,Statdt,Commnt,Markettype
759,中百集团,1997-05-19,10,中百控股集团股份有限公司,"Zhongbai Holdings Group Co., Ltd.",6,商业,H11,零售业,F52,零售业,1989-11-08,湖北省,420000,武汉市,420100,国营或国有控股,P0301,1997-05-19,CNY,4.2500,5.2500,CNY,40000,CNY,1997-04-29,1.000,2,A,,2024-01-15,,4
760,斯太退,1997-06-27,10,斯太尔动力股份有限公司,"Steyr Motors Co., Ltd.",5,工业,C75,交通运输设备制造业,C36,汽车制造业,1988-06-14,湖北省,420000,荆州市,421000,私营企业,P0306,1997-06-27,CNY,0.0000,1.0000,CNY,10000,CNY,1993-10-01,1.000,2,D,,2021-07-23,,4
761,本钢板材,1998-01-15,10,本钢板材股份有限公司,"Bengang Steel Plates Co., Ltd.",5,工业,C65,黑色金属冶炼及压延加工业,C31,黑色金属冶炼及压延加工业,1997-06-27,辽宁省,210000,本溪市,210500,国营或国有控股,P0301,1998-01-15,CNY,4.4000,5.4000,CNY,120000,CNY,1997-11-03,1.000,2,A,200761,2024-01-15,,4
762,西藏矿业,1997-07-08,10,西藏矿业发展股份有限公司,"Tibet Mineral Development Co., Ltd.",5,工业,B05,黑色金属矿采选业,B08,黑色金属矿采选业,1994-01-01,西藏自治区,540000,拉萨市,540100,国营或国有控股,P0301,1997-07-08,CNY,5.9000,6.9000,CNY,35000,CNY,1997-06-18,1.000,2,A,,2024-01-15,,4
763,锦州石化,1997-09-15,10,锦州石化股份有限公司,"Jinzhou Petrochemical Co., Ltd.",5,工业,C41,石油加工及炼焦业,C25,石油加工、炼焦及核燃料加工业,1997-08-29,辽宁省,210000,锦州市,210700,国营或国有控股,P0301,1997-09-15,CNY,3.7600,4.7600,CNY,100000,CNY,1997-08-12,1.000,2,D,,2006-01-04,,4
765,"*ST 华信",1997-11-03,10,武汉华信高新技术股份有限公司,"Wuhan Huaxin Hi-Tech Co., Ltd.",6,商业,H11,零售业,F52,零售业,1990-01-29,湖北省,420000,武汉市,420100,国营或国有控股,P0301,1997-11-03,CNY,0.0000,1.0000,CNY,12510,CNY,1992-04-01,1.000,2,D,,2005-07-04,,4
766,通化金马,1997-04-30,10,通化金马药业集团股份有限公司,"Tonghua Golden-horse Pharmaceutical Industry Group Co., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,1993-02-26,吉林省,220000,通化市,220500,私营企业,P0306,1997-04-30,CNY,6.2300,7.2300,CNY,40000,CNY,1997-04-18,1.000,2,A,,2024-01-15,,4
767,晋控电力,1997-06-09,10,晋能控股山西电力股份有限公司,"Jinneng Holding Shanxi Electric Power Co., Ltd.",5,工业,D01,电力、蒸汽、热水的生产和供应业,D44,电力、热力生产和供应业,1993-02-08,山西省,140000,太原市,140100,国营或国有控股,P0301,1997-06-09,CNY,5.0000,6.0000,CNY,15000,CNY,1997-05-22,1.000,2,A,,2024-01-15,,4
768,中航西飞,1997-06-26,10,中航西安飞机工业集团股份有限公司,"AVIC Xi'an Aircraft Industry Group Company Ltd.",5,工业,C75,交通运输设备制造业,C37,铁路、船舶、航空航天和其它运输设备制造业,1997-06-18,陕西省,610000,西安市,610100,国营或国有控股,P0301,1997-06-26,CNY,5.1500,6.1500,CNY,60000,CNY,1997-06-06,1.000,2,A,,2024-01-15,,4
769,"*ST 大菲",1997-05-30,10,沈阳菲菲澳家现代农业股份有限公司,"Shenyang Feifei Aojia Modern Agriculture Co., Ltd.",4,综合,A09,农、林、牧、渔服务业,A05,农、林、牧、渔服务业,1997-05-25,辽宁省,210000,沈阳市,210100,国营或国有控股,P0301,1997-05-30,CNY,5.4300,6.4300,CNY,45000,CNY,1997-05-13,1.000,2,D,,2005-09-21,,4
776,广发证券,1997-06-11,10,广发证券股份有限公司,"GF Securities Co., Ltd.",1,金融,I21,证券、期货业,J67,资本市场服务,1993-05-21,广东省,440000,广州市,440100,其他,P0399,1997-06-11,CNY,2.6000,3.6000,CNY,30000,CNY,1997-05-14,1.000,2,A,,2024-01-15,01776,4
777,中核科技,1997-07-10,10,中核苏阀科技实业股份有限公司,"CNNC SUFA Technology Industry Co., Ltd.",5,工业,C71,普通机械制造业,C34,通用设备制造业,1997-07-02,江苏省,320000,苏州市,320500,国营或国有控股,P0301,1997-07-10,CNY,4.3300,5.3300,CNY,30000,CNY,1997-06-16,1.000,2,A,,2024-01-15,,4
778,新兴铸管,1997-06-06,10,新兴铸管股份有限公司,"Xinxing Ductile Iron Pipes Co., Ltd.",5,工业,C69,金属制品业,C33,金属制品业,1997-05-24,河北省,130000,武安市,130481,国营或国有控股,P0301,1997-06-06,CNY,8.8000,9.8000,CNY,80000,CNY,1997-05-09,1.000,2,A,,2024-01-15,,4
779,甘咨询,1997-05-28,10,甘肃工程咨询集团股份有限公司,"Gansu Engineering Consulting Group Co., Ltd.",2,公用事业,K20,专业、科研服务业,M74,专业技术服务业,1995-08-01,甘肃省,620000,兰州市,620100,国营或国有控股,P0301,1997-05-28,CNY,4.5000,5.5000,CNY,45000,CNY,1997-05-12,1.000,2,A,,2024-01-15,,4
780,"ST 平能",1997-06-06,10,内蒙古平庄能源股份有限公司,"Inner Mongolia Pingzhuang Energy Co., Ltd.",5,工业,B01,煤炭采选业,B06,煤炭开采和洗选业,1993-06-22,内蒙古自治区,150000,赤峰市,150400,国营或国有控股,P0301,1997-06-06,CNY,4.6600,5.6600,CNY,40000,CNY,1997-05-19,1.000,2,D,,2022-01-24,,4
782,美达股份,1997-06-19,10,广东新会美达锦纶股份有限公司,"Guangdong Xinhui Meida Nylon Co., Ltd.",5,工业,C47,化学纤维制造业,C28,化学纤维制造业,1992-11-08,广东省,440000,江门市,440700,私营企业,P0306,1997-06-19,CNY,5.3300,6.3300,CNY,50000,CNY,1997-06-03,1.000,2,A,,2024-01-15,,4
783,长江证券,1997-07-31,10,长江证券股份有限公司,"Changjiang Securities Co., Ltd.",1,金融,I21,证券、期货业,J67,资本市场服务,1997-07-24,湖北省,420000,武汉市,420100,私营企业,P0306,1997-07-31,CNY,4.8900,5.8900,CNY,120000,CNY,1997-07-11,1.000,2,A,,2024-01-15,,4
785,居然之家,1997-07-11,10,居然之家新零售集团股份有限公司,"Easyhome New Retail Group Co., Ltd.",2,公用事业,K99,其他社会服务业,L72,商务服务业,1990-04-25,湖北省,420000,武汉市,420100,国营或国有控股,P0301,1997-07-11,CNY,1.8000,2.8000,CNY,8600,CNY,1992-05-17,1.000,2,A,,2024-01-15,,4
786,北新建材,1997-06-06,10,北新集团建材股份有限公司,"Beijing New Building Materials Public Limited Company",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,1997-05-30,北京市,110000,北京市,110000,国营或国有控股,P0301,1997-06-06,CNY,4.9300,5.9300,CNY,45000,CNY,1997-05-20,1.000,2,A,,2024-01-15,,4
787,"*ST 创智",1997-06-26,10,创智信息科技股份有限公司,"Powerise Information Technology Co., Ltd.",2,公用事业,G87,计算机应用服务业,I64,互联网和相关服务,1993-05-22,广东省,440000,深圳市,440300,私营企业,P0306,1997-06-26,CNY,3.5700,4.5700,CNY,25000,CNY,1997-06-10,1.000,2,D,,2013-02-08,,4
788,北大医药,1997-06-16,10,北大医药股份有限公司,"PKU HealthCare Corp., Ltd.",5,工业,C81,医药制造业,C27,医药制造业,1993-05-18,重庆市,500000,重庆市,500000,国营或国有控股,P0301,1997-06-16,CNY,4.7000,5.7000,CNY,45000,CNY,1997-05-27,1.000,2,A,,2024-01-15,,4
789,万年青,1997-09-23,10,江西万年青水泥股份有限公司,"Jiangxi Wannianqing Cement Co., Ltd.",5,工业,C61,非金属矿物制品业,C30,非金属矿物制品业,1997-09-05,江西省,360000,上饶市,361100,国营或国有控股,P0301,1997-09-23,CNY,3.2600,4.2600,CNY,50000,CNY,1997-08-20,1.000,2,A,,2024-01-15,,4
